input,input,input,input,input,input,input,input,input,input,input,input,input,input,output
V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V14,V22,V27,V28
42,50,270900,270944,267,17,44,24220,76,108,1687,80,2.4265,0.5822,1
645,651,2538079,2538108,108,10,30,11397,84,123,1687,80,2.0334,0.2984,1
829,835,1553913,1553931,71,8,19,7972,99,125,1623,100,1.8513,0.215,1
853,860,369370,369415,176,13,45,18996,99,126,1353,290,2.2455,0.5212,1
1289,1306,498078,498335,2409,60,260,246930,37,126,1353,185,3.3818,1,1
430,441,100250,100337,630,20,87,62357,64,127,1387,40,2.7993,0.9874,1
413,446,138468,138883,9052,230,432,1481991,23,199,1687,150,3.9567,1,1
190,200,210936,210956,132,11,20,20007,124,172,1687,150,2.1206,0.3359,1
330,343,429227,429253,264,15,26,29748,53,148,1687,150,2.4216,0.5593,1
74,90,779144,779308,1506,46,167,180215,53,143,1687,150,3.1778,1,1
106,118,813452,813500,442,13,48,50393,76,143,1687,150,2.6454,0.8612,1
505,515,106604,106668,284,42,69,31062,97,119,1687,150,2.4533,0.9048,1
46,58,179258,179312,480,15,54,61966,102,158,1687,150,2.6812,0.9093,1
581,590,230644,230704,433,22,60,38917,62,111,1687,150,2.6365,0.8299,1
451,466,368143,368208,728,30,68,69258,36,133,1687,150,2.8621,0.9888,1
669,684,491552,491684,1097,59,133,119540,50,134,1687,150,3.0402,1,1
156,192,713788,714056,5044,167,282,570911,11,143,1687,150,3.7028,1,1
90,104,751059,751132,552,38,76,59750,79,134,1687,150,2.7419,0.9918,1
82,89,844704,844729,137,8,25,14907,92,126,1687,150,2.1367,0.2998,1
1601,1613,21349,21376,209,15,27,24807,96,141,1687,200,2.3201,0.5362,1
17,28,42683,42717,284,18,34,32604,87,141,1687,200,2.4533,0.6173,1
43,52,86284,86313,153,13,29,17753,101,134,1687,200,2.1847,0.4317,1
63,72,115485,115504,106,10,19,13829,107,150,1687,200,2.0253,0.2942,1
82,92,149044,149083,264,15,39,32175,92,141,1687,200,2.4216,0.6422,1
75,84,184350,184383,201,17,35,27349,123,148,1687,200,2.3032,0.4913,1
1363,1372,2128884,2128907,171,9,23,16645,77,111,1373,40,2.233,0.3464,1
1358,1372,2356396,2356435,395,19,39,38722,75,118,1373,40,2.5966,0.8355,1
1404,1410,5202306,5202324,85,9,18,8948,97,119,1627,40,1.9294,0.215,1
1281,1302,4332564,4332815,3214,92,253,368381,33,140,1373,40,3.5071,1,1
49,62,4822354,4822392,386,15,38,36875,51,124,1373,40,2.5866,0.7822,1
830,837,1874382,1874415,182,9,33,20751,99,132,1373,40,2.2601,0.3834,1
91,104,2378173,2378236,527,19,63,48793,47,125,1387,40,2.7218,0.9691,1
161,168,2891780,2891804,158,9,24,16680,80,119,1387,40,2.1987,0.2901,1
1328,1338,2691161,2691189,214,10,28,19762,70,111,1387,50,2.3304,0.463,1
1251,1274,3874199,3874261,994,29,62,68851,15,119,1387,50,2.9974,0.9994,1
733,745,3957796,3957839,367,16,43,35856,55,127,1387,50,2.5647,0.8061,1
12,24,304433,304472,320,15,39,32705,55,125,1353,70,2.5052,0.7512,1
162,172,505964,506035,378,34,72,43323,77,135,1353,70,2.5775,0.9381,1
0,10,1701480,1701528,210,36,48,17413,73,100,1333,40,2.3222,0.7659,1
1617,1629,183688,183711,201,22,23,20993,79,126,1633,250,2.3032,0.4564,1
1152,1162,284144,284198,386,35,54,44712,90,132,1687,200,2.5866,0.8299,1
1259,1271,1918092,1918128,324,30,36,30269,65,124,1353,70,2.5106,0.7037,1
1545,1557,19815,19841,234,20,26,23207,66,124,1627,40,2.3692,0.5162,1
1580,1590,3884411,3884461,340,30,50,34655,88,116,1627,40,2.5315,0.7889,1
450,458,1009978,1009999,98,16,21,10784,96,132,1690,60,1.9912,0.2901,1
1625,1634,1702442,1702491,267,43,49,22785,67,110,1690,60,2.4265,0.7161,1
1495,1502,3509718,3509731,56,12,13,5587,85,116,1686,60,1.7482,0.1965,1
958,964,3550754,3550771,71,11,17,7502,91,124,1682,60,1.8513,0.2083,1
1536,1548,43036,43048,90,14,12,7525,67,100,1688,60,1.9542,0.2583,1
780,787,1686880,1686891,55,9,11,6124,95,125,1690,60,1.7404,0.1822,1
1140,1147,2379116,2379129,58,9,13,6567,100,132,1690,60,1.7634,0.1965,1
13,24,2512899,2512965,567,47,66,46365,51,109,1690,60,2.7536,0.944,1
11,20,2845229,2845256,182,20,27,16337,72,109,1688,60,2.2601,0.4025,1
1589,1599,3826564,3826588,154,20,24,13678,69,108,1650,69,2.1875,0.3977,1
765,774,4157586,4157620,188,20,34,20528,95,125,1648,69,2.2742,0.5063,1
1268,1277,5437033,5437060,146,20,27,15572,88,126,1646,69,2.1644,0.4025,1
333,346,5683008,5683014,51,14,7,6902,120,149,1650,69,1.7076,0.1832,1
1287,1299,1005865,1005895,184,25,30,18593,85,119,1650,100,2.2648,0.5951,1
1088,1096,1094617,1094629,67,10,12,7416,94,132,1710,100,1.8261,0.2018,1
1255,1261,718602,718617,64,10,15,7013,99,123,1360,100,1.8062,0.1954,1
707,714,807870,807880,53,10,10,5039,81,111,1360,100,1.7243,0.1753,1
1186,1193,238656,238667,60,10,11,6863,100,132,1362,120,1.7781,0.1822,1
626,635,2071945,2071956,76,14,11,8063,84,126,1362,120,1.8808,0.2051,1
1503,1510,893849,893861,66,9,12,6625,87,118,1632,100,1.8195,0.1892,1
1152,1161,969900,969911,70,9,11,7846,99,127,1632,100,1.8451,0.2051,1
1533,1542,1031539,1031599,382,43,60,38206,77,118,1632,100,2.5821,0.8299,1
788,796,1060712,1060732,110,13,20,11126,84,116,1630,100,2.0414,0.2792,1
34,40,914648,914661,51,8,13,5369,95,116,1654,100,1.7076,0.1832,1
1604,1612,1194800,1194814,63,15,14,5232,73,94,1656,100,1.7993,0.2195,1
1610,1618,1944129,1944138,56,12,9,4674,71,101,1656,100,1.7482,0.1773,1
1617,1628,2095494,2095507,89,14,13,7804,77,100,1658,100,1.9494,0.257,1
1589,1598,2493647,2493675,190,21,28,18416,81,116,1648,100,2.2787,0.417,1
482,490,11430396,11430416,81,15,20,8709,99,119,1656,100,1.9085,0.2792,1
1067,1073,237702,237720,63,17,18,4616,58,93,1694,211,1.7993,0.215,1
623,631,309514,309526,60,9,12,4585,62,92,1694,211,1.7781,0.2018,1
446,453,200561,200567,30,8,6,3022,80,116,1692,143,1.4771,0.1499,1
375,384,519677,519708,209,24,31,24034,90,143,1692,143,2.3201,0.4613,1
125,134,1334420,1334443,156,20,23,18654,101,141,1352,80,2.1931,0.3464,1
124,140,2377039,2377320,2643,165,285,300024,64,140,1400,40,3.4221,1,1
1321,1339,513812,514011,2145,134,201,228995,16,133,1380,40,3.3314,1,1
817,843,66196,66362,1421,142,185,141034,47,126,1666,40,3.1526,1,1
808,816,161967,161984,103,13,17,11430,97,126,1666,40,2.0128,0.2482,1
1327,1335,126951,126958,40,11,7,4014,89,111,1364,60,1.6021,0.1622,1
64,95,417618,418215,10914,481,604,1096282,21,141,1362,60,4.038,1,1
57,69,33796,33812,135,18,16,10915,55,97,1360,200,2.1303,0.3241,1
921,930,638468,638484,114,14,17,13173,94,140,1392,220,2.0569,0.2583,1
830,837,837868,837888,82,13,20,9671,106,128,1392,220,1.9138,0.2532,1
1201,1213,3496093,3496125,275,19,32,28986,78,127,1362,40,2.4393,0.633,1
1227,1238,3980733,3980769,289,25,36,32134,92,132,1364,40,2.4609,0.6514,1
959,974,4178002,4178041,313,36,39,35005,68,135,1364,40,2.4955,0.8682,1
320,333,4383724,4383776,437,36,52,44883,63,132,1364,40,2.6405,0.9236,1
34,51,132507,132576,759,45,69,67978,44,124,1362,40,2.8802,0.997,1
159,172,273320,273387,677,44,67,67597,72,124,1360,40,2.8306,0.9779,1
1265,1278,31580,31602,211,18,22,17820,49,109,1364,100,2.3243,0.4729,1
1343,1352,106512,106519,52,9,7,5049,87,109,1366,100,1.716,0.1687,1
557,570,2425687,2425716,261,28,29,28261,91,126,1358,40,2.4166,0.6221,1
1058,1066,367429,367455,135,18,26,15385,103,126,1690,70,2.1303,0.3479,1
780,787,1044544,1044587,181,29,43,20264,99,125,1690,70,2.2577,0.4979,1
971,979,1246698,1246717,109,15,19,12212,100,127,1694,70,2.0374,0.2686,1
374,382,2670756,2670772,102,11,16,11385,95,127,1692,70,2.0086,0.2384,1
1027,1034,2928247,2928259,51,8,12,5999,111,135,1692,70,1.7076,0.1892,1
1554,1564,3375744,3375765,134,13,21,13356,89,111,1690,70,2.1271,0.3509,1
179,193,1280228,1280256,266,23,28,24547,49,126,1626,120,2.4249,0.6453,1
980,992,333332,333435,970,57,103,97514,66,133,1362,175,2.9868,0.998,1
1579,1592,562576,562633,515,32,57,41622,46,108,1632,125,2.7118,0.9491,1
225,235,719009,719024,116,17,15,11656,71,127,1634,125,2.0645,0.266,1
1465,1486,1837263,1837460,2490,146,197,283038,19,141,1634,125,3.3962,1,1
1360,1373,2094748,2094776,251,22,28,28050,89,140,1632,125,2.3997,0.6015,1
1155,1167,2124816,2124840,165,22,26,18742,87,134,1626,125,2.2175,0.4763,1
1325,1334,1959035,1959052,112,16,17,11439,84,127,1358,40,2.0492,0.2699,1
1260,1271,552783,552815,208,24,32,22478,84,126,1350,50,2.3181,0.5822,1
1245,1258,702370,702405,337,26,35,33379,68,125,1354,50,2.5276,0.7347,1
1687,1696,150712,150740,167,24,28,9559,23,94,1698,90,2.2227,0.417,1
1507,1516,188768,188800,200,24,32,21691,90,125,1696,90,2.301,0.4763,1
1688,1694,247330,247414,359,29,84,19226,30,93,1696,90,2.5551,0.7933,1
1685,1692,297096,297166,349,33,70,24697,45,95,1698,90,2.5428,0.7776,1
1687,1694,348227,348257,140,12,30,9253,38,101,1698,90,2.1461,0.3509,1
1571,1583,435871,435916,379,35,45,37695,80,124,1700,90,2.5786,0.8299,1
757,766,487568,487588,121,13,20,13345,89,134,1698,90,2.0828,0.3068,1
1568,1583,564536,564621,762,63,86,78455,88,124,1698,90,2.8819,0.9985,1
1571,1585,689792,689890,861,78,98,90154,91,126,1696,90,2.935,0.9992,1
1575,1589,815462,815504,335,37,42,32766,86,124,1696,90,2.525,0.8705,1
1579,1590,939827,939860,242,24,33,24672,90,119,1698,90,2.3838,0.5999,1
1395,1407,1108752,1108782,264,26,30,25531,64,126,1696,90,2.4216,0.5951,1
5,13,1137189,1137216,134,20,27,14605,94,125,1694,90,2.1271,0.3601,1
1578,1590,1208774,1208843,372,56,70,37930,77,125,1696,90,2.5705,0.9708,1
1595,1611,1594430,1594517,794,59,87,84410,62,127,1696,90,2.8998,0.9993,1
10,22,1678200,1678232,227,28,32,23706,77,127,1698,90,2.356,0.633,1
1593,1608,1724027,1724129,927,65,103,89508,68,127,1698,90,2.9671,0.9997,1
9,18,1743219,1743250,227,22,31,21864,74,126,1698,90,2.356,0.4613,1
1505,1514,1751260,1751304,271,35,45,28268,85,127,1700,90,2.433,0.6514,1
1470,1488,1771553,1771642,771,50,89,76380,63,127,1698,90,2.887,0.9998,1
1643,1656,1809470,1809524,471,37,54,43880,62,125,1698,90,2.673,0.9349,1
1555,1570,1823955,1823987,285,24,32,29895,81,126,1698,90,2.4548,0.7659,1
923,931,1120157,1120180,120,17,23,12238,84,124,1688,70,2.0792,0.3125,1
1540,1558,1511165,1511591,4686,251,427,454421,30,133,1688,70,3.6708,1,1
1251,1256,458923,458941,70,15,18,8051,106,127,1356,40,1.8451,0.1954,1
83,92,3528981,3529007,180,18,26,19118,80,127,1362,40,2.2553,0.3882,1
375,386,1063504,1063527,170,18,23,18052,79,127,1698,60,2.2304,0.4187,1
1136,1142,1421726,1421746,83,14,20,9917,110,134,1696,60,1.9191,0.2288,1
451,465,2550845,2551201,2705,213,359,197957,28,126,1364,80,3.4322,1,1
1331,1336,4270168,4270218,177,15,50,17388,65,126,1360,100,2.248,0.4138,1
172,183,212157,212188,221,26,31,22508,66,125,1358,40,2.3444,0.5642,1
30,38,2277670,2277688,109,16,18,11573,89,126,1358,40,2.0374,0.2583,1
389,399,5427410,5427424,104,14,14,11748,84,135,1362,40,2.017,0.2532,1
450,466,11741476,11741833,3319,221,357,363821,37,133,1360,40,3.521,1,1
41,54,12577343,12577396,501,33,53,46520,49,127,1358,40,2.6998,0.9294,1
295,308,12725281,12725314,291,20,33,28711,68,126,1358,40,2.4639,0.6995,1
268,279,12917033,12917094,444,43,61,45269,78,126,1360,40,2.6474,0.9212,1
62,74,12987661,12987692,258,27,31,26902,75,125,1360,40,2.4116,0.6142,1
18,26,471253,471281,168,24,28,20267,102,143,1360,70,2.2253,0.3725,1
16,26,786881,786900,136,19,19,16571,99,143,1358,70,2.1335,0.3212,1
19,28,808173,808199,119,26,26,14471,97,143,1358,70,2.0756,0.3882,1
16,26,1377748,1377782,257,21,34,31058,91,151,1356,70,2.4099,0.5626,1
14,23,1461247,1461302,265,47,56,34055,106,156,1358,70,2.4232,0.7833,1
13,21,1488612,1488636,105,18,24,13943,120,150,1358,70,2.0212,0.3241,1
15,24,1620686,1620708,154,20,22,19711,103,156,1358,70,2.1875,0.3329,1
17,26,1651888,1651909,145,18,21,18695,101,156,1358,70,2.1614,0.3197,1
1166,1185,2258648,2258662,123,33,17,15858,116,143,1708,100,2.0899,0.4399,2
7,19,21512,21518,56,13,6,6632,108,132,1354,70,1.7482,0.1773,2
37,53,50442,50467,226,33,31,25563,100,132,1354,70,2.3541,0.6574,2
39,51,66522,66578,436,41,56,39043,71,117,1354,70,2.6395,0.9216,2
193,205,82308,82319,84,19,11,9155,99,118,1354,70,1.9243,0.2432,2
145,159,102099,102111,63,20,15,7752,109,140,1354,70,1.7993,0.2901,2
39,60,118073,118242,1590,143,172,154035,80,116,1354,70,3.2014,1,2
141,182,133683,133829,2267,201,161,248809,96,127,1354,70,3.3554,1,2
68,103,149046,149092,521,90,54,62926,104,135,1354,70,2.7168,0.9998,2
81,94,162885,162940,395,54,59,41476,92,127,1356,70,2.5966,0.94,2
0,17,177337,177387,353,53,56,32335,79,118,1352,70,2.5478,0.9747,2
94,106,190885,190920,205,33,36,22913,98,125,1354,70,2.3117,0.6868,2
10,21,204933,204953,135,16,23,8781,46,86,1356,70,2.1303,0.3663,2
3,15,221100,221142,294,35,42,20642,47,95,1356,70,2.4683,0.7933,2
16,24,240377,240390,71,12,13,6820,86,110,1356,70,1.8513,0.2105,2
144,150,254652,254670,56,16,19,6593,109,126,1354,70,1.7482,0.215,2
30,39,274230,274244,54,17,15,5912,97,132,1354,70,1.7324,0.2359,2
63,82,287835,287869,400,49,42,35427,78,101,1356,70,2.6021,0.9082,2
166,174,303149,303167,82,22,21,9467,105,127,1358,70,1.9138,0.2583,2
158,168,319303,319317,69,14,14,7659,98,125,1358,70,1.8389,0.2532,2
174,194,334304,334316,114,38,21,13595,106,134,1354,70,2.0569,0.3977,2
513,529,350481,350500,158,28,19,15719,89,111,1354,70,2.1987,0.5029,2
25,37,362724,362736,57,15,12,4557,70,93,1354,70,1.7559,0.2583,2
9,18,374580,374591,74,15,11,4347,36,84,1356,70,1.8692,0.2051,2
185,199,387402,387414,75,23,12,8535,104,127,1356,70,1.8751,0.2901,2
134,156,411630,411717,787,94,94,85268,94,124,1356,70,2.896,1,2
81,216,425023,425176,5027,748,403,611544,93,143,1358,70,3.7013,1,2
385,408,439180,439212,353,65,40,34230,84,111,1356,70,2.5478,0.9474,2
34,42,451067,451079,59,13,12,5608,85,103,1354,70,1.7708,0.2018,2
1147,1160,463836,463848,74,19,13,8915,109,132,1354,70,1.8692,0.2739,2
260,272,477075,477082,55,12,7,6106,101,124,1356,70,1.7404,0.1892,2
1,16,494893,494946,397,50,56,21964,33,84,1354,70,2.5988,0.9639,2
225,244,506783,506794,123,28,16,13148,95,118,1356,70,2.0899,0.3494,2
369,380,518261,518272,78,24,12,8388,95,119,1356,70,1.8921,0.23,2
436,442,530968,530985,63,17,17,6374,90,116,1356,70,1.7993,0.2083,2
506,519,548929,548953,170,28,25,20000,105,126,1356,70,2.2304,0.5162,2
109,121,560425,560445,124,18,20,13549,97,124,1352,70,2.0934,0.3977,2
49,71,573049,573118,884,106,98,83716,77,118,1356,70,2.9464,0.9997,2
51,61,585861,585888,139,21,27,8233,40,78,1356,70,2.143,0.4465,2
397,415,604478,604528,444,58,50,51661,97,134,1358,70,2.6474,0.9818,2
703,718,618132,618148,112,23,17,11154,87,111,1356,70,2.0492,0.3977,2
405,416,634279,634288,71,15,10,8824,113,135,1358,70,1.8513,0.2051,2
135,142,646729,646749,77,15,20,8235,97,124,1356,70,1.8865,0.2532,2
0,14,677297,677417,812,93,120,60260,51,93,1358,70,2.9096,0.9999,2
10,42,697885,698089,2904,197,207,145129,22,86,1358,70,3.463,1,2
10,32,718425,718521,964,106,103,53750,29,84,1356,70,2.9841,1,2
8,31,751592,751656,521,61,67,31515,43,78,1358,70,2.7168,0.9996,2
216,250,763872,763947,938,117,94,110127,102,133,1356,70,2.9722,1,2
34,139,776120,776424,4315,470,380,479002,82,148,1354,70,3.635,1,2
226,249,791161,791249,995,70,90,110993,95,133,1354,70,2.9978,1,2
174,194,802771,802822,585,101,56,63194,96,125,1352,70,2.7672,0.9917,2
0,37,814236,814627,7292,466,536,608995,43,108,1352,70,3.8628,1,2
2,27,830707,830795,1014,96,102,61231,40,79,1356,70,3.006,1,2
161,193,851460,851553,1784,90,99,202537,95,135,1354,70,3.2514,1,2
123,143,874488,874545,573,67,62,60005,90,126,1354,70,2.7582,0.9963,2
65,104,896899,897032,2875,202,161,316233,82,133,1352,70,3.4586,1,2
27,56,908862,908986,2483,107,129,198389,44,101,1354,70,3.395,1,2
244,275,923170,923211,709,84,55,83627,105,132,1352,70,2.8507,0.9984,2
144,164,936743,936828,1148,85,94,121595,89,132,1354,70,3.0599,0.9999,2
138,184,949306,949493,3811,235,230,365943,78,124,1358,70,3.581,1,2
66,92,961682,961728,613,95,77,63480,90,117,1356,70,2.7875,0.9974,2
168,181,973635,973704,540,69,70,66181,110,135,1354,70,2.7324,0.9814,2
168,201,983776,983827,694,60,53,77691,94,127,1354,70,2.8414,0.9999,2
157,167,1009876,1009888,67,15,13,8477,113,140,1352,70,1.8261,0.2288,2
189,214,1025376,1025473,1348,98,100,126759,81,118,1356,70,3.1297,1,2
61,78,1036126,1036161,265,47,40,26694,86,116,1356,70,2.4232,0.8756,2
176,193,1048818,1048832,138,30,16,17295,114,141,1356,70,2.1399,0.3945,2
141,154,1060291,1060313,109,25,22,12602,102,132,1356,70,2.0374,0.4729,2
172,179,1072228,1072248,74,19,20,8027,98,119,1354,70,1.8692,0.2532,2
460,534,1082731,1082953,7579,591,431,917886,95,141,1356,70,3.8796,1,2
137,156,1093477,1093492,184,31,15,19460,96,118,1354,70,2.2648,0.4713,2
14,32,1105359,1105387,252,55,36,19650,52,94,1356,70,2.4014,0.7933,2
212,222,1116878,1116892,62,14,14,6819,98,124,1354,70,1.7924,0.2532,2
114,127,1127920,1127927,60,14,8,6685,102,124,1354,70,1.7781,0.1965,2
242,252,1137747,1137757,55,20,14,6483,109,127,1354,70,1.7404,0.2061,2
38,63,1148345,1148364,241,45,35,14875,42,85,1356,70,2.382,0.7598,2
107,120,1159125,1159132,54,18,7,6135,102,124,1354,70,1.7324,0.1965,2
119,127,1172603,1172632,128,22,30,15896,111,140,1356,70,2.1072,0.385,2
1341,1347,1184511,1184525,51,17,14,4499,51,117,1358,70,1.7076,0.1892,2
75,82,1196901,1196915,61,12,14,5695,81,109,1354,70,1.7853,0.204,2
195,218,1211728,1211795,780,106,83,84461,96,126,1356,70,2.8921,0.9997,2
462,486,1226170,1226204,493,56,38,59901,105,141,1354,70,2.6929,0.9685,2
603,612,1266537,1266548,65,10,12,6757,95,115,1358,70,1.8129,0.2051,2
220,234,1285730,1285749,138,28,21,14757,93,118,1358,70,2.1399,0.4399,2
225,241,1301932,1301945,85,23,16,8566,93,111,1358,70,1.9294,0.3479,2
18,24,1312116,1312132,59,15,16,3095,41,71,1356,70,1.7708,0.2018,2
294,308,1323717,1323745,222,25,29,25660,104,125,1358,70,2.3463,0.6453,2
79,95,1335585,1335593,73,20,11,8327,103,126,1356,70,1.8633,0.2384,2
478,512,1346996,1347021,286,54,33,30518,95,125,1356,70,2.4564,0.9747,2
65,80,1359784,1359820,390,30,36,38672,80,118,1358,70,2.5911,0.8299,2
165,176,1373431,1373442,52,17,13,5376,95,111,1358,70,1.716,0.23,2
135,146,1385900,1385914,98,23,14,9733,89,113,1360,70,1.9912,0.2712,2
85,96,1398904,1398914,61,12,11,6834,102,124,1358,70,1.7853,0.2173,2
356,367,1411801,1411815,75,19,16,7384,89,109,1358,70,1.8751,0.2712,2
49,71,1427809,1427883,705,76,76,63525,73,117,1358,70,2.8482,0.9998,2
484,513,1457758,1457776,196,52,35,22534,104,127,1360,70,2.2923,0.8123,2
108,120,1471277,1471288,64,16,13,7216,102,124,1356,70,1.8062,0.2432,2
357,370,1483879,1483901,130,26,25,13185,90,117,1358,70,2.1139,0.4729,2
169,186,1495862,1495883,215,36,22,24463,103,125,1356,70,2.3324,0.5903,2
37,48,1508012,1508040,178,25,28,18774,92,116,1356,70,2.2504,0.5096,2
116,126,1536604,1536631,155,24,27,16678,96,120,1356,70,2.1903,0.4465,2
0,17,1549800,1549891,1030,72,92,71852,49,84,1354,70,3.0128,0.9998,2
824,844,1564536,1564557,140,27,22,15545,99,125,1356,70,2.1461,0.6868,2
53,91,1578055,1578129,1470,84,82,132939,70,118,1356,70,3.1673,1,2
248,262,1589431,1589443,69,20,19,7588,100,119,1356,70,1.8389,0.2901,2
104,124,1602180,1602199,231,31,23,29896,117,143,1356,70,2.3636,0.6268,2
115,136,1622697,1622718,169,33,28,19591,105,127,1356,70,2.2279,0.7161,2
31,50,1647143,1647194,445,72,55,46236,91,118,1354,70,2.6484,0.9884,2
221,236,1658742,1658769,245,37,33,27599,100,124,1354,70,2.3892,0.6648,2
195,209,1671098,1671110,99,16,13,12056,111,132,1358,70,1.9956,0.2901,2
144,153,1686794,1686810,55,19,17,6146,104,125,1358,70,1.7404,0.2583,2
449,521,1699784,1699829,873,174,100,103898,106,133,1358,70,2.941,1,2
55,65,1713172,1713184,64,16,13,7286,102,126,1356,70,1.8062,0.2288,2
142,155,1723382,1723392,60,20,11,6260,96,117,1360,70,1.7781,0.2408,2
49,75,1736811,1736822,120,31,18,12834,90,125,1356,70,2.0792,0.4729,2
322,357,1747625,1747660,314,84,50,38597,110,140,1356,70,2.4969,0.9979,2
210,224,1761692,1761703,61,17,11,7309,112,132,1356,70,1.7853,0.2712,2
30,58,1772722,1772736,253,50,26,28728,86,135,1356,70,2.4031,0.6453,2
88,120,1785901,1785930,509,73,60,49765,80,116,1358,70,2.7067,0.9848,2
42,55,1798152,1798172,170,25,21,16633,84,116,1356,70,2.2304,0.43,2
54,76,1810277,1810283,78,22,10,8246,95,117,1356,70,1.8921,0.2432,2
29,39,1821904,1821917,77,17,13,6861,76,109,1356,70,1.8865,0.2408,2
173,188,1835338,1835349,83,18,12,10702,116,140,1356,70,1.9191,0.286,2
83,93,1846280,1846289,61,12,10,6490,96,118,1356,70,1.7853,0.1954,2
17,27,1859616,1859633,80,23,17,4931,41,84,1356,70,1.9031,0.2928,2
98,108,1889430,1889440,51,15,10,5546,99,124,1356,70,1.7076,0.2061,2
184,205,1901970,1901975,58,22,7,7050,111,135,1356,70,1.7634,0.2116,2
116,126,1913635,1913646,58,13,11,7114,112,133,1356,70,1.7634,0.2173,2
178,197,1924923,1924936,130,38,25,16308,115,140,1356,70,2.1139,0.4089,2
41,56,1939590,1939602,117,22,14,11647,89,110,1356,70,2.0682,0.3068,2
82,98,1951256,1951299,490,38,44,50867,86,118,1354,70,2.6902,0.929,2
73,92,1964561,1964591,318,36,33,31789,85,124,1354,70,2.5024,0.8563,2
20,37,1978821,1978842,185,29,24,18517,88,119,1354,70,2.2672,0.5903,2
151,162,1990021,1990031,59,13,11,5957,89,111,1354,70,1.7708,0.2173,2
69,81,2001776,2001794,119,20,18,11516,84,117,1352,70,2.0756,0.3601,2
79,88,2012938,2012949,66,10,11,5652,75,101,1356,70,1.8195,0.2051,2
85,101,2023127,2023150,268,28,25,26356,84,118,1356,70,2.4281,0.6079,2
74,91,2032900,2032910,99,29,17,11843,109,134,1354,70,1.9956,0.2928,2
34,48,2044448,2044475,197,38,29,19139,86,109,1354,70,2.2945,0.6236,2
13,21,2058002,2058016,91,12,14,8106,79,101,1358,70,1.959,0.2195,2
32,44,2070769,2070796,142,30,29,12465,72,109,1354,70,2.1523,0.5362,2
81,90,2082327,2082338,60,13,11,6133,91,117,1356,70,1.7781,0.2051,2
22,31,2097257,2097270,60,15,13,5573,81,103,1354,70,1.7781,0.2253,2
280,305,2109314,2109324,149,27,17,15313,93,111,1354,70,2.1732,0.4138,2
107,120,2126449,2126462,103,19,13,12424,112,132,1356,70,2.0128,0.2914,2
7,19,2153394,2153410,93,19,17,9214,90,108,1356,70,1.9685,0.3241,2
42,59,2216544,2216556,115,22,17,11748,87,124,1356,70,2.0607,0.3419,2
8,29,2280779,2280868,1203,68,89,96937,48,101,1354,70,3.0803,1,2
8,18,2293926,2293946,109,22,20,11293,90,116,1356,70,2.0374,0.3359,2
31,50,2381257,2381400,1371,114,144,150413,85,132,1356,70,3.137,1,2
45,53,2409503,2409518,88,13,15,8123,81,110,1354,70,1.9445,0.2288,2
25,46,2433660,2433721,566,64,70,62326,89,132,1356,70,2.7528,0.9985,2
4,17,2445033,2445050,97,19,17,5940,47,77,1358,70,1.9868,0.3678,2
27,36,2457919,2457943,145,19,26,14997,91,117,1356,70,2.1614,0.3601,2
26,40,2535272,2535292,205,24,21,26503,108,148,1354,70,2.3117,0.463,2
2,11,2550643,2550653,60,12,10,3673,48,77,1358,70,1.7781,0.1954,2
24,38,2563219,2563241,173,22,23,17100,85,111,1356,70,2.238,0.5096,2
9,25,2583771,2583780,71,19,12,6886,84,111,1356,70,1.8513,0.2583,2
